categoria,url
monitor 24,https://www.amazon.com.br/dp/B0G75Y176D
monitor 24,https://www.amazon.com.br/dp/B0FWRGKTBX
monitor aoc 25,https://www.amazon.com.br/Monitor-Gamer-AOC-Ajust%C3%A1vel-25G4S/dp/B0FGDLNWWT/ref=sr_1_4
monitor aoc 25,https://www.amazon.com.br/Monitor-AOC-NVIDIA-G-Sync-24G42HE/dp/B0FGDJNXPP/ref=sr_1_5
monitor aoc 27,https://www.amazon.com.br/Monitor-AOC-Ajuste-Altura-24G4/dp/B0DLPB4CH6/ref=sr_1_11
monitor aoc,https://www.amazon.com.br/Monitor-AOC-DESTINY-FreeSync-25G3ZM/dp/B0CJ9NVNW6
monitor LG,https://www.amazon.com.br/Monitor-LG-UltraGear-DisplayPort-FreeSyncTM/dp/B0D8DPT7ZY
monitor LG,https://www.amazon.com.br/Monitor-LG-UltraGearTM-24G411A-B-FreeSync/dp/B0FYQ5TQDL
monitor samsung odissey,https://www.amazon.com.br/MONITOR-SAMSUNG-ODYSSEY-G30-24/dp/B0BTJ86YFZ
monitor LG ultragear,https://www.mercadolivre.com.br/monitor-lg-ultragear-24g411a-b-24fhd-144hz-1ms-mbr-nvidia-g-sync-amd-freesync-hdr10/p/MLB57489948
monitor LG ultragear,https://www.mercadolivre.com.br/monitor-lg-ultragear-24g411a-b-24-fhd-144hz-1ms-mbr-nvidia-g-sync-amd-freesync-hdr10/p/MLB63708263
monitor LG ultragear,https://www.mercadolivre.com.br/monitor-lg-ultragear-24g411a-24-fhd-144hz-1ms/up/MLBU3598307033
monitor lg,https://www.mercadolivre.com.br/monitor-gamer-lg-24ms500-b-24ms-ips-fullhd-100hz-ajuste-de-inclinaco-negro/p/MLB38017111
monitor tcl,https://www.mercadolivre.com.br/monitor-gamer-curvo-tcl-57-qled-mini-led-4k-r94-120hz-57r94-preto/p/MLB60862441
monitor samsung,https://www.mercadolivre.com.br/monitor-gamer-samsung-24-fhd-120hz-hdmi-dp-preto-s3/p/MLB51435621
monitor AOC,https://www.mercadolivre.com.br/monitor-gamer-aoc-agon-g42-24-200hz-03ms-ips-24g42he/p/MLB61497487
monitor LG,https://www.mercadolivre.com.br/monitor-gamer-lg-ultragear-24-24gs60f-b-ips-full-hd-180hz-1ms-gtg-nvidia-g-sync-amd-freesync-hdr10-srgb-99-hdmi-displayport/p/MLB38947984
monitor samsung,https://www.mercadolivre.com.br/monitor-samsung-odyssey-g30-ls24bg300elmzd-24-full-hd-va-144hz-freesync-preto/p/MLB23772912
monitor AOC,https://www.mercadolivre.com.br/monitor-gamer-27--aoc-legend-c27g2ze-va-fhd-05ms-240hz/up/MLBU3096176232
monitor AOC,https://www.mercadolivre.com.br/monitor-gamer-aoc-destiny-245-240hz-05ms-freesync-25g3zm/up/MLBU609662391
monitor, https://www.mercadolivre.com.br/monitor-acer-nitro-kg241y-p3bip-238-full-hd-led-va-180-hz-05ms-hdmi-amd-freesync-premium-preto/p/MLB43583645
monitor, https://www.mercadolivre.com.br/monitor-gamer-aoc-215-full-hd-gaming-120hz-1ms-22b30hm23-cor-preto/p/MLB50200257

notebook vaio,https://www.mercadolivre.com.br/notebook-vaio-fe16-amd-ryzen-5-5625u-windows-11-home-12gb-ram-512gb-ssd-wi-fi-6-tela-16-ips-wuxga-antirreflexo-cinza-grafite-vjfe69f11x-b1221h-permite-upgrade-de-memoria-ram-e-ssd/p/MLB48919057
notebook gamer loq E 3050,https://www.amazon.com.br/dp/B0DYL44KXR
notebook gamer loq E 3050,https://www.mercadolivre.com.br/notebook-gamer-lenovo-loq-e-15iax9e-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-3050-windows-11-156-83me0007br-luna-grey/p/MLB46018205
notebook acer nitro v 3050,https://www.amazon.com.br/dp/B0FYJ67V77
notebook acer nitro v 3050,https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-anv15-51-57ws-intel-core-i5-13420h-13geraco-512ssd-8gb-nvidia-geforce-rtx-3050-gddr6-linux-gutta-156/p/MLB37396835
notebook gamer acer nitro v 4050,https://www.amazon.com.br/dp/B0G1CPG1KT
notebook gamer acer nitro v 4050,https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v15-anv15-41-r2gt-amd-ryzen-7-7735hs-rtx-4050-16-gb-ram-512-gb-ssd-full-hd-156/p/MLB61937659
notebook gamer rtx asus tuf gaming,https://www.amazon.com.br/dp/B0FHBYH2Y5
notebook gamer rtx asus tuf gaming, https://www.mercadolivre.com.br/notebook-asus-tuf-gaming-f16-fx607vj-nvidia-rtx-3050-intel-core-5-210h-16gb-ram-512gb-ssd-windows-11-home-tela-16-nivel-ips-144hz-cinza-rl007w/p/MLB52423671

teclado mecanico,https://www.amazon.com.br/Redragon-TECLADO-MECANICO-DRAGONBORN-SWITCH/dp/B0BFZ1Q3HP/ref=sr_1_8
teclado mecanico,https://www.mercadolivre.com.br/teclado-mecnico-gamer-force-one-atlas-60-rgb-switch-huano-red-branco/p/MLB27896590
teclado mecanico,https://www.mercadolivre.com.br/teclado-mecanico-gamer-60-computador-rgb-usb-pc-laranja/up/MLBU2868109460
teclado mecanico,https://www.mercadolivre.com.br/teclado-redragon-mitra-qwerty-outemu-brown-portugus-brasil-cor-preto-com-luz-vermelho/p/MLB16023719
teclado mecanico,https://www.mercadolivre.com.br/teclado-gamer-redragon-flamengo-nation-preto-e-vermelho/p/MLB55903753
teclado mecanico,https://www.mercadolivre.com.br/teclado-gamer-mecnico-redragon-dragonborn-k630rgb-1-cor-de-teclado-preto-idioma-portugus-brasil/p/MLB20790453

